id,Type,sku,name,status,featured,catalog_visibility,short_description,description,date_on_sale_from,date_on_sale_to,tax_status,tax_class,stock_status,backorders,sold_individually,weight,height,reviews_allowed,purchase_note,price,regular_price,manage_stock/stock_quantitiy,category_ids,tag_ids,shipping_class_id,attributes,attributes,default_attributes,attributes,image_id/gallery_image_ids,attributes,downloads,downloads,download_limit,download_expiry,parent_id,upsell_ids,cross_sell_ids
,ELECTRONIC,EL1,ELECTRONIC,1,,visible, Adafruit Ultimate GPS HAT for Raspberry Pi Aplus Bplus Pi 2 - Mini Kit for , Adafruit Ultimate GPS HAT for Raspberry Pi Aplus Bplus Pi 2 - Mini Kit for ,,,taxable,standard,1,0,1,5,10,1,Thanks so much!,26,26,1,Electronics,,domestic,,,,,,,,,,,,,
,ELECTRONIC,EL2,ELECTRONIC,1,,visible, Black HDMI cable - 1.5m for , Black HDMI cable - 1.5m for ,,,taxable,standard,1,0,1,5,10,1,Ace!,4,4,10,Electronics,,domestic,,,,,,,,,,,,,
,ELECTRONIC,EL3,ELECTRONIC,1,,visible, Raspberry Pi Zero Adaptor Kit for , Raspberry Pi Zero Adaptor Kit for ,,,taxable,standard,1,0,1,5,10,1,Ace!,3.33,3.33,10,Electronics,,domestic,,,,,,,,,,,,,
,ELECTRONIC,EL4,ELECTRONIC,1,,visible, Stainless Medium Conductive Thread - 3 ply - 18 meter/60 ft for , Stainless Medium Conductive Thread - 3 ply - 18 meter/60 ft for ,,,taxable,standard,1,0,1,5,10,1,Ace!,4.3,4.3,1,Electronics,,domestic,,,,,,,,,,,,,
,ELECTRONIC,EL5,ELECTRONIC,1,,visible, Pirate Radio - Pi Zero W Project Kit for , Pirate Radio - Pi Zero W Project Kit for ,,,taxable,standard,1,0,1,5,10,1,Ace!,24.85,24.85,5,Electronics,,domestic,,,,,,,,,,,,,
,ELECTRONIC,EL6,ELECTRONIC,1,,visible, STS-Pi - Build a Roving Robot! for , STS-Pi - Build a Roving Robot! for ,,,taxable,standard,1,0,1,5,10,1,Ace!,11,11,5,Electronics,,domestic,,,,,,,,,,,,,
,ELECTRONIC,EL7,ELECTRONIC,1,,visible, Energenie Pi-mote Control starter kit with 2 sockets for , Energenie Pi-mote Control starter kit with 2 sockets for ,,,taxable,standard,1,0,1,5,10,1,Ace!,15,15,4,Electronics,,domestic,,,,,,,,,,,,,
,ELECTRONIC,EL8,ELECTRONIC,1,,visible, Pi Zero W Starter Kit for , Pi Zero W Starter Kit for ,,,taxable,standard,1,0,1,5,10,1,Ace!,23.65,23.65,5,Electronics,,domestic,,,,,,,,,,,,,
,ELECTRONIC,EL9,ELECTRONIC,1,,visible, MAKEDO Cardboard Construction Toolkit (Classroom Pack) for , MAKEDO Cardboard Construction Toolkit (Classroom Pack) for ,,,taxable,standard,1,0,1,5,10,1,Ace!,75,75,1,Electronics,,domestic,,,,,,,,,,,,,
,ELECTRONIC,EL10,ELECTRONIC,1,,visible, MyoWare Muscle Sensor Development Kit for , MyoWare Muscle Sensor Development Kit for ,,,taxable,standard,1,0,1,5,10,1,Ace!,60,60,2,Electronics,,domestic,,,,,,,,,,,,,
